Var1,Var2,Pearson_r,n,p_value
rates_beyond_canon,rates_hiveswap_act_1,0.25005238947374564,2617,<0.00001
hardcore_fan_score,makes_fanart_scale,0.24917677797710042,6438,<0.00001
rates_problem_sleuth,rates_paradox_space,0.24793512380725682,2392,<0.00001
rates_paradox_space,rates_pesterquest,0.24754842407533786,2120,<0.00001
rates_beyond_canon,rates_hiveswap_act_2,0.2447497307615989,1888,<0.00001
rates_homestuck,rates_paradox_space,0.24401960308870332,3573,<0.00001
rates_homestuck,rates_hiveswap_act_2,0.2436688274550423,2558,<0.00001
rates_homestuck_ending,rates_paradox_space,0.24203056800724596,3538,<0.00001
rates_friendsim,rates_psycholonials,0.2418935636952939,941,<0.00001
rates_hiveswap_act_1,rates_psycholonials,0.23989236217153032,1136,<0.00001
makes_fanmusic_scale,makes_software_scale,0.2384180373162036,6127,<0.00001
rates_paradox_space,rates_psycholonials,0.23619951127032757,1115,<0.00001
hardcore_fan_score,makes_cosplay_scale,0.2341987715965219,6192,<0.00001
rates_pesterquest,rates_psycholonials,0.22503562115375833,1026,<0.00001
rates_epilogues,rates_pesterquest,0.22494703906028754,2518,<0.00001
rates_homestuck,rates_friendsim,0.22367117179559,2938,<0.00001
makes_fanmusic_scale,makes_fanfiction_scale,0.21299147985104896,6191,<0.00001
makes_fanfiction_scale,makes_software_scale,0.20991369607992963,6124,<0.00001
rates_paradox_space,rates_beyond_canon,0.19570098441667594,2624,<0.00001
days_since_last_read_log,rates_homestuck,-0.19024856484138813,5911,<0.00001
age_log,makes_fanart_scale,-0.18952236907775202,6174,<0.00001
rates_epilogues,rates_friendsim,0.18314259608920147,2320,<0.00001
days_since_fandom_join_log,hardcore_fan_score,0.1816787818241635,5951,<0.00001
makes_fanart_scale,makes_software_scale,0.17009379809597114,6198,<0.00001
days_since_last_read_log,rates_beyond_canon,-0.16105035997968745,3485,<0.00001
makes_fanmusic_scale,makes_cosplay_scale,0.15961013413017167,6159,<0.00001
hardcore_fan_score,makes_fanvideos_scale,0.15383288419836524,6194,<0.00001
rates_epilogues,rates_hiveswap_act_1,0.15314003313145244,2944,<0.00001
hardcore_fan_score,rates_homestuck_ending,0.14786852245213547,6169,<0.00001
rates_homestuck,rates_problem_sleuth,0.14685795453835787,3401,<0.00001
makes_cosplay_scale,makes_software_scale,0.1464779765483844,6090,<0.00001
rates_problem_sleuth,rates_psycholonials,0.14422136242889275,1092,<0.00001
rates_problem_sleuth,rates_hiveswap_act_1,0.14353997572534727,2273,<0.00001
rates_epilogues,rates_hiveswap_act_2,0.14318977678288233,1990,<0.00001
days_since_fandom_join_log,rates_psycholonials,-0.1366060401389298,1409,<0.00001
age_log,makes_fanvideos_scale,-0.1362694987008244,5931,<0.00001
age_log,rates_hiveswap_act_2,-0.13624176128390147,2458,<0.00001
days_since_last_read_log,hardcore_fan_score,-0.1341526466200269,6016,<0.00001
makes_fanart_scale,makes_fanmusic_scale,0.13125289166556536,6295,<0.00001
hardcore_fan_score,makes_software_scale,0.12789520703488952,6071,<0.00001
hardcore_fan_score,rates_psycholonials,0.1273639667920343,1548,<0.00001
hardcore_fan_score,rates_problem_sleuth,0.12661662984271116,3393,<0.00001
hardcore_fan_score,rates_paradox_space,0.12624180102120508,3562,<0.00001
age_log,econ_scale,-0.1250877916544493,4933,<0.00001
days_since_last_read_log,rates_psycholonials,-0.12203251176716362,1424,<0.00001
hardcore_fan_score,rates_hiveswap_act_1,0.11395174860483102,3771,<0.00001
days_since_fandom_join_log,rates_hiveswap_act_2,-0.11343083911549466,2282,<0.00001
days_since_fandom_join_log,makes_cosplay_scale,0.1134236998949871,5492,<0.00001
rates_problem_sleuth,rates_friendsim,0.11083200645059334,1737,<0.00001
rates_epilogues,makes_fanart_scale,-0.10921719553490555,4265,<0.00001
rates_beyond_canon,makes_fanart_scale,-0.10690655748772865,3743,<0.00001
hardcore_fan_score,makes_fanmusic_scale,0.10164350040676609,6161,<0.00001
hardcore_fan_score,rates_beyond_canon,0.10124479290241556,3845,<0.00001
rates_epilogues,rates_problem_sleuth,0.10050936097260657,2647,<0.00001
rates_epilogues,rates_paradox_space,0.0999839193570735,2872,<0.00001
days_since_last_read_log,rates_epilogues,-0.0967576004348882,3977,<0.00001
hardcore_fan_score,times_read,0.09546939470043866,5122,<0.00001
days_since_last_read_log,rates_homestuck_ending,-0.09062868897492697,5581,<0.00001
rates_problem_sleuth,rates_beyond_canon,0.08581928817432113,2294,0.00004
hardcore_fan_score,rates_hiveswap_act_2,0.08133820637950798,2552,0.00004
rates_pesterquest,makes_cosplay_scale,0.08036818257017103,3102,<0.00001
age_log,makes_software_scale,-0.07828051979695681,5811,<0.00001
rates_homestuck,makes_cosplay_scale,0.07798485641036879,6106,<0.00001
days_since_fandom_join_log,econ_scale,-0.07574969067530708,4489,<0.00001
days_since_fandom_join_log,rates_beyond_canon,-0.07544614787328065,3461,<0.00001
age_log,makes_fanmusic_scale,-0.07243249212301263,5900,<0.00001
days_since_last_read_log,makes_software_scale,-0.07048633285750333,5471,<0.00001
days_since_last_read_log,makes_fanvideos_scale,-0.06868039518950579,5582,<0.00001
days_since_fandom_join_log,makes_fanfiction_scale,0.06464587334527083,5496,<0.00001
hardcore_fan_score,rates_epilogues,0.06451436837358993,4401,0.00002
times_read,rates_homestuck,0.0637445335650707,5057,<0.00001
age_log,rates_epilogues,0.060451461916442656,4238,0.00008
days_since_last_read_log,makes_fanart_scale,-0.05931700965694529,5793,<0.00001
days_since_last_read_log,makes_fanmusic_scale,-0.05827210515937691,5554,0.00001
rates_homestuck,makes_software_scale,0.05709438644034347,5992,<0.00001
times_read,makes_fanart_scale,0.05699754233568123,4942,0.00006
times_read,makes_cosplay_scale,0.05652504388409903,4764,0.00009
times_read,makes_fanvideos_scale,0.05479119809005163,4771,0.00015
rates_homestuck,makes_fanmusic_scale,0.05432734743777485,6083,0.00002
rates_homestuck,makes_fanvideos_scale,0.054226076015051965,6118,0.00002
rates_homestuck,makes_fanfiction_scale,0.054218854377867644,6136,0.00002
days_since_fandom_join_log,rates_homestuck,-0.05378931913590417,5810,0.00004
days_since_last_read_log,times_read,-0.05341519195131896,5221,0.00011
age_log,rates_homestuck,-0.04753790500775466,6299,0.00016
