value,count,percentage
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm autistic/on the spectrum",20,0.3
"I'm autistic/on the spectrum, I'm a rationalist",20,0.3
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",20,0.3
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",19,0.3
"I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.), I have ADHD/attention issues",19,0.3
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry",19,0.3
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I have ADHD/attention issues",18,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm a juggalo",18,0.2
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",18,0.2
"I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",17,0.2
"I'm autistic/on the spectrum, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",17,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",17,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",16,0.2
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",16,0.2
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",16,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",16,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a vegan/vegetarian",15,0.2
"I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",15,0.2
"I'm left-handed, I have ADHD/attention issues",14,0.2
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",14,0.2
"I'm autistic/on the spectrum, I'm a furry, I'm left-handed",14,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",14,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",14,0.2
"I have ADHD/attention issues, I'm a vegan/vegetarian",14,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm left-handed",13,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a juggalo",13,0.2
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",13,0.2
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm a juggalo",13,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm a juggalo",13,0.2
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",12,0.2
"I'm autistic/on the spectrum, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I have ADHD/attention issues",12,0.2
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",12,0.2
"I'm autistic/on the spectrum, I'm a vegan/vegetarian",12,0.2
"I'm a furry, I'm autistic/on the spectrum, I have ADHD/attention issues",12,0.2
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",12,0.2
"I'm autistic/on the spectrum, I'm a furry, I'm a juggalo",12,0.2
I'm part of a System (DID/MPD/etc),12,0.2
"I'm a furry, I'm a juggalo",12,0.2
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",12,0.2
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",11,0.2
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",11,0.2
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",11,0.2
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",11,0.2
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I have ADHD/attention issues",11,0.2
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",11,0.2
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a rationalist",11,0.2
"I'm a furry, I'm a rationalist",11,0.2
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",11,0.2
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",11,0.2
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed",11,0.2
"I'm a juggalo, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",11,0.2
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed",11,0.2
"I have ADHD/attention issues, I'm a furry, I'm a juggalo",10,0.1
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",10,0.1
"I'm a juggalo, I have ADHD/attention issues",10,0.1
"I'm autistic/on the spectrum, I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",10,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",10,0.1
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed",10,0.1
"I have ADHD/attention issues, I'm deaf or hard of hearing",9,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed",9,0.1
"I have ADHD/attention issues, I'm a furry, I'm autistic/on the spectrum",9,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum",9,0.1
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a rationalist",9,0.1
"I'm left-handed, I'm autistic/on the spectrum",9,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",9,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.), I'm a juggalo",9,0.1
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",9,0.1
"I'm a furry, I'm left-handed",9,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",8,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a furry",8,0.1
"I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I have ADHD/attention issues",8,0.1
I'm legally blind,8,0.1
"I'm left-handed, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",8,0.1
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a rationalist",8,0.1
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",8,0.1
"I'm a furry, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",8,0.1
"I'm autistic/on the spectrum, I'm deaf or hard of hearing",8,0.1
"I have ADHD/attention issues, I'm a juggalo, I'm autistic/on the spectrum",8,0.1
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm a juggalo",7,0.1
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a rationalist",7,0.1
"I'm autistic/on the spectrum, I'm a vegan/vegetarian, I have ADHD/attention issues",7,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a rationalist",7,0.1
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm autistic/on the spectrum, I'm a furry",7,0.1
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a vegan/vegetarian",7,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",7,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",7,0.1
"I'm autistic/on the spectrum, I'm a furry, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",7,0.1
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm autistic/on the spectrum, I have ADHD/attention issues",7,0.1
"I'm a furry, I have ADHD/attention issues, I'm autistic/on the spectrum",7,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",6,0.1
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a rationalist",6,0.1
"I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.), I'm autistic/on the spectrum",6,0.1
"I have ADHD/attention issues, I'm a furry, I'm left-handed",6,0.1
"I'm left-handed, I'm a juggalo",6,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.), I'm a juggalo",6,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",6,0.1
"I'm a furry, I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",6,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a juggalo",6,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",6,0.1
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",6,0.1
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",6,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum",6,0.1
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed",6,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",6,0.1
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm a rationalist",6,0.1
"I'm a vegan/vegetarian, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",6,0.1
"I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",6,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",6,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm deaf or hard of hearing",6,0.1
"I'm autistic/on the spectrum, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.), I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",5,0.1
"I'm a juggalo, I'm autistic/on the spectrum",5,0.1
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm autistic/on the spectrum, I'm a furry",5,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm left-handed, I'm a juggalo",5,0.1
"I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.), I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",5,0.1
"I'm left-handed, I'm a furry",5,0.1
"I'm a juggalo, I'm a furry",5,0.1
"I'm a furry, I have ADHD/attention issues, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",5,0.1
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm a juggalo",5,0.1
"I have ADHD/attention issues, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.), I'm a juggalo",5,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm deaf or hard of hearing",5,0.1
"I'm a furry, I have ADHD/attention issues, I'm a juggalo",5,0.1
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry, I'm a juggalo",5,0.1
I'm a parent,5,0.1
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm a furry, I'm a juggalo",5,0.1
"I have ADHD/attention issues, I'm left-handed, I'm a juggalo",5,0.1
"I'm a furry, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.), I'm a juggalo",5,0.1
"I'm a rationalist, I have ADHD/attention issues",5,0.1
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.), I'm a juggalo",5,0.1
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry, I'm left-handed",5,0.1
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues",5,0.1
"I'm a juggalo, I'm a rationalist",5,0.1
I'm deaf or hard of hearing,5,0.1
"I'm autistic/on the spectrum, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a juggalo",5,0.1
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a vegan/vegetarian",5,0.1
"I have ADHD/attention issues, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",5,0.1
Other,1810,24.7
